CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
MD-503,Annapolis/Anne Arundel County CoC,384,106,21,257,251,61,15,175,82,45,2,35,0,0,0,333,106
MD-504,Howard County CoC,170,38,14,118,114,24,6,84,34,14,7,13,0,0,0,148,38
MD-505,Baltimore County CoC,569,111,75,383,366,92,47,227,26,19,0,7,0,0,0,392,111
MD-506,Carroll County CoC,124,23,9,92,77,12,8,57,19,11,1,7,22,0,22,118,23
MD-507,Cecil County CoC,195,36,6,153,69,11,1,57,90,25,0,65,0,0,0,159,36
MD-508, Charles Calvert St.Mary's Counties CoC , 1,141 ,356,104,681,401,100,43,258,150,50,11,89,0,0,0,551
MD-509,Frederick City & County CoC,246,64,12,170,86,9,6,71,111,55,6,50,0,0,0,197,64
MD-510,Garrett County CoC,13,4,0,9,3,0,0,3,5,1,0,4,0,0,0,8,1
MD-511,Mid-Shore Regional CoC,111,19,15,77,68,7,10,51,25,11,4,10,0,0,0,93,18
MD-512,Hagerstown/Washington County CoC,107,26,8,73,89,26,7,56,14,0,0,14,0,0,0,103,26
MD-513, Wicomico Somerset Worcester Counties CoC ,336,52,25,259,247,30,17,200,48,18,5,25,0,0,0,295,48
MD-600,Prince George's County CoC,659,274,63,322,255,106,22,127,225,111,19,95,0,0,0,480,217
MD-601,Montgomery County CoC,891,185,64,642,515,107,43,365,245,78,10,157,36,1,35,796,185
ME-500,Maine Statewide CoC, 2726 ,793,315, 1,618 , 1,107 ,229,142,736, 1,515 ,558,148,809,11,0
MI-500,Michigan Balance of State CoC, 2253 ,764,351, 1,138 ,769,242,97,430,967,445,138,384,0,0,0, 1
MI-501,Detroit CoC, 2755 ,351,243, 2,161 , 1,332 ,182,139, 1,011 , 1,120 ,166,93,861,21
MI-502, Dearborn Dearborn Heights Westland/Wayne County CoC ,456,177,34,245,152,77,14,61,269,100,20,149,13,0,13,434,177
MI-503, St. Clair Shores Warren/Macomb County CoC ,343,27,39,277,246,23,25,198,55,4,8,43,0,0,0,301,27
MI-504, Pontiac Royal Oak/Oakland County CoC ,457,100,46,311,241,20,19,202,141,80,27,34,0,0,0,382,100
